Model,Load_Type,MAE,MSE,RMSE,R2
LSTM,Peak,499.8150954355736,424628.42298375303,651.6351916400411,0.663946801114333
LSTM,Min,331.2738030688142,177936.74694235463,421.8254934713579,0.8614850888439429
LSTM,Avg,353.7392064967618,209341.34744458942,457.53835625506787,0.8151310825280658
Hybrid,Peak,438.888756635274,340397.7646003834,583.436170116649,0.7306073934389787
Hybrid,Min,350.16755793824916,187907.9761867735,433.4835362349688,0.8537229826087716
Hybrid,Avg,343.43523623118256,194027.68250419127,440.4857347340448,0.8286545488409434
